Country Name,Year,GDP growth (annual %),General government final consumption expenditure (% of GDP),hdi index
Armenia,2009,-14.1,12.28372598,0.741
Armenia,2010,2.2,12.04370773,0.747
Armenia,2011,4.699999999,11.91029326,0.752
Armenia,2012,7.200000001,10.90996389,0.761
Armenia,2013,3.3,11.93506543,0.766
Armenia,2014,3.600000001,12.08585349,0.772
Armenia,2015,3.199999999,13.11159781,0.777
Armenia,2016,0.1999999998,13.45415852,0.783
Armenia,2017,7.500000002,12.31855199,0.785
Armenia,2018,5.2,11.48669032,0.789
Armenia,2019,7.599999999,12.5645601,0.796
Armenia,2020,-7.199999999,14.96861824,0.761
Armenia,2021,5.800000001,13.64985026,0.786
Armenia,2022,12.6,11.67648189,0.801
Armenia,2023,8.3,14.14657932,0.811
Azerbaijan,2009,9.369502784,11.12340772,0.74
Azerbaijan,2010,4.78883271,10.88143177,0.744
Azerbaijan,2011,-1.572997621,10.12768327,0.746
Azerbaijan,2012,2.202939023,10.52596006,0.751
Azerbaijan,2013,5.843415762,10.28324911,0.757
Azerbaijan,2014,2.797585434,10.88587304,0.766
Azerbaijan,2015,1.049546368,12.40823832,0.771
Azerbaijan,2016,-3.063598454,12.83206344,0.772
Azerbaijan,2017,0.1536146467,11.34141244,0.774
Azerbaijan,2018,1.500401707,10.46646357,0.775
Azerbaijan,2019,2.479808934,11.12347093,0.78
Azerbaijan,2020,-4.198960792,16.21894208,0.757
Azerbaijan,2021,5.616440269,13.86744232,0.765
Azerbaijan,2022,4.714680379,11.64214799,0.784
Azerbaijan,2023,1.354477318,13.81500937,0.789
Bahrain,2009,2.539885702,13.97822783,0.804
Bahrain,2010,4.334298975,12.38943254,0.81
Bahrain,2011,1.928157912,13.30958613,0.817
Bahrain,2012,3.80302899,14.85575259,0.833
Bahrain,2013,5.292622249,14.96189917,0.846
Bahrain,2014,4.308856927,15.48307495,0.847
Bahrain,2015,2.507872053,16.88445955,0.868
Bahrain,2016,3.814993274,16.27803496,0.871
Bahrain,2017,4.953835341,15.85288216,0.874
Bahrain,2018,2.05258865,15.55919098,0.886
Bahrain,2019,2.052877744,14.99421245,0.894
Bahrain,2020,-5.911362952,16.55554299,0.885
Bahrain,2021,4.350040917,15.20835482,0.885
Bahrain,2022,6.180161255,13.69223358,0.902
Bahrain,2023,3.878116148,14.61370118,0.899
Bangladesh,2009,5.045124799,5.093745166,0.551
Bangladesh,2010,5.571788185,5.075325836,0.561
Bangladesh,2011,6.464379125,5.097446688,0.572
Bangladesh,2012,6.521458779,5.039342519,0.583
Bangladesh,2013,6.013605658,5.116131642,0.589
Bangladesh,2014,6.061059359,5.337520757,0.6
Bangladesh,2015,6.552639878,5.404240381,0.621
Bangladesh,2016,7.113478213,5.865298315,0.632
Bangladesh,2017,6.590249998,6.02233216,0.633
Bangladesh,2018,7.31941263,5.959166931,0.646
Bangladesh,2019,7.881915151,6.238189406,0.656
Bangladesh,2020,3.448017551,5.971207292,0.663
Bangladesh,2021,6.938679124,5.882748688,0.663
Bangladesh,2022,7.099828776,5.698999556,0.68
Bangladesh,2023,5.77511237,5.665169627,0.685
Brunei Darussalam,2009,-1.900253862,22.97522597,0.823
Brunei Darussalam,2010,2.741364335,22.15193594,0.825
Brunei Darussalam,2011,3.744406387,18.72879694,0.829
Brunei Darussalam,2012,0.9131353244,18.43806131,0.836
Brunei Darussalam,2013,-2.124783186,20.16437995,0.835
Brunei Darussalam,2014,-2.507887216,21.41763368,0.834
Brunei Darussalam,2015,-0.3923834879,25.0616661,0.832
Brunei Darussalam,2016,-2.477917765,26.22317864,0.83
Brunei Darussalam,2017,1.328726513,26.47724699,0.829
Brunei Darussalam,2018,0.05237105447,24.14172854,0.826
Brunei Darussalam,2019,3.868844164,25.04039617,0.827
Brunei Darussalam,2020,1.133573406,25.43098596,0.827
Brunei Darussalam,2021,-1.590762481,22.467059,0.824
Brunei Darussalam,2022,-1.62833154,20.12423823,0.823
Brunei Darussalam,2023,1.407068323,22.81804665,0.837
Cambodia,2009,4.074778506,6.296904564,0.538
Cambodia,2010,5.076918432,6.475082916,0.542
Cambodia,2011,7.286658139,6.160172099,0.546
Cambodia,2012,7.650256579,5.945607568,0.551
Cambodia,2013,7.857499755,5.829002849,0.554
Cambodia,2014,8.000320746,5.640930453,0.559
Cambodia,2015,7.207034725,5.461082875,0.564
Cambodia,2016,7.905501161,5.320850037,0.573
Cambodia,2017,8.075039155,5.244503357,0.581
Cambodia,2018,8.776223762,4.948207579,0.588
Cambodia,2019,7.936950136,4.809338638,0.596
Cambodia,2020,-3.555721934,5.422165844,0.596
Cambodia,2021,3.089842841,6.565786405,0.596
Cambodia,2022,5.103368887,5.899853929,0.6
Cambodia,2023,4.960066589,6.077860903,0.606
China,2009,9.402699728,14.99319082,0.7
China,2010,10.59627198,14.83778422,0.71
China,2011,9.461335887,15.5115435,0.717
China,2012,7.856174271,15.9047697,0.725
China,2013,7.778724094,15.94628371,0.733
China,2014,7.461900282,15.87831888,0.742
China,2015,6.978780027,16.25781215,0.75
China,2016,6.775555628,16.40046611,0.758
China,2017,6.891266362,16.50176089,0.765
China,2018,6.756718002,16.83653841,0.774
China,2019,6.068502351,17.15101239,0.781
